Source_tissue,Target_tissue,cytokine_description,cytokine_ensemlb,cytokine_genename,cytokine_uniprot,Receptor_description,Receptor_ensembl,Receptor_genename,Receptor_uniprot,reference,action_sentiment,num_papers,enrichment_score,chains
intestine,NK-cell,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,intestine-->CCL25-->ACKR2-->NK-cell
intestine,NK-cell,C-C motif chemokine ligand 11,ENSG00000172156,CCL11,P51671,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,intestine-->CCL11-->ACKR2-->NK-cell
intestine,placenta,C-C motif chemokine ligand 24,ENSG00000106178,CCL24,O00175,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,intestine-->CCL24-->ACKR2-->placenta
intestine,placenta,Interleukin 2,ENSG00000109471,IL2,P60568,Interleukin 2 receptor subunit beta,ENSG00000100385,IL2RB,P14784,NA,NA,NA,NA,intestine-->IL2-->IL2RB-->placenta
intestine,placenta,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,intestine-->CCL25-->ACKR2-->placenta
intestine,placenta,C-C motif chemokine ligand 11,ENSG00000172156,CCL11,P51671,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,intestine-->CCL11-->ACKR2-->placenta
intestine,plasmacytoid DC,Interleukin 2,ENSG00000109471,IL2,P60568,Nerve growth factor receptor,ENSG00000064300,NGFR,P08138,NA,NA,NA,NA,intestine-->IL2-->NGFR-->plasmacytoid DC
intestine,plasmacytoid DC,C-C motif chemokine ligand 11,ENSG00000172156,CCL11,P51671,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,intestine-->CCL11-->CXCR3-->plasmacytoid DC
intestine,salivary gland,C-C motif chemokine ligand 24,ENSG00000106178,CCL24,O00175,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,intestine-->CCL24-->ACKR2-->salivary gland
intestine,salivary gland,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,intestine-->CCL25-->ACKR4-->salivary gland
intestine,salivary gland,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,intestine-->CCL25-->ACKR2-->salivary gland
intestine,salivary gland,C-C motif chemokine ligand 11,ENSG00000172156,CCL11,P51671,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,intestine-->CCL11-->ACKR4-->salivary gland
intestine,salivary gland,C-C motif chemokine ligand 11,ENSG00000172156,CCL11,P51671,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,intestine-->CCL11-->ACKR2-->salivary gland
intestine,T-reg,C-C motif chemokine ligand 1,ENSG00000108702,CCL1,P22362,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,intestine-->CCL1-->CCR8-->T-reg
intestine,T-reg,Interleukin 2,ENSG00000109471,IL2,P60568,Interleukin 2 receptor subunit alpha,ENSG00000134460,IL2RA,P01589,NA,NA,NA,NA,intestine-->IL2-->IL2RA-->T-reg
intestine,T-reg,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,C-C motif chemokine receptor 9,ENSG00000173585,CCR9,P51686,NA,NA,NA,NA,intestine-->CCL25-->CCR9-->T-reg
intestine,T-reg,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,C-C motif chemokine receptor 10,ENSG00000184451,CCR10,P46092,NA,NA,NA,NA,intestine-->CCL25-->CCR10-->T-reg
intestine,urinary bladder,C-C motif chemokine ligand 1,ENSG00000108702,CCL1,P22362,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,intestine-->CCL1-->CCR8-->urinary bladder
kidney,basophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit alpha V,ENSG00000138448,ITGAV,P06756,NA,NA,NA,NA,kidney-->SPP1-->ITGAV-->basophil
kidney,basophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit alpha 9,ENSG00000144668,ITGA9,Q13797,NA,NA,NA,NA,kidney-->SPP1-->ITGA9-->basophil
kidney,basophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 3,ENSG00000259207,ITGB3,P05106,NA,NA,NA,NA,kidney-->SPP1-->ITGB3-->basophil
kidney,esophagus,Epidermal growth factor,ENSG00000138798,EGF,P01133,EPH receptor A2,ENSG00000142627,EPHA2,P29317,NA,NA,NA,NA,kidney-->EGF-->EPHA2-->esophagus
kidney,gdT-cell,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 5,ENSG00000082781,ITGB5,P18084,NA,NA,NA,NA,kidney-->SPP1-->ITGB5-->gdT-cell
kidney,gdT-cell,Epidermal growth factor,ENSG00000138798,EGF,P01133,Erb-b2 receptor tyrosine kinase 2,ENSG00000141736,ERBB2,P04626,NA,NA,NA,NA,kidney-->EGF-->ERBB2-->gdT-cell
kidney,naive CD4 T-cell,TNF superfamily member 10,ENSG00000121858,TNFSF10,P50591,TNF receptor superfamily member 10d,ENSG00000173530,TNFRSF10D,Q9UBN6,NA,NA,NA,NA,kidney-->TNFSF10-->TNFRSF10D-->naive CD4 T-cell
kidney,neutrophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit alpha 5,ENSG00000161638,ITGA5,P08648,NA,NA,NA,NA,kidney-->SPP1-->ITGA5-->neutrophil
kidney,neutrophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 3,ENSG00000259207,ITGB3,P05106,NA,NA,NA,NA,kidney-->SPP1-->ITGB3-->neutrophil
kidney,neutrophil,TNF superfamily member 10,ENSG00000121858,TNFSF10,P50591,TNF receptor superfamily member 10c,ENSG00000173535,TNFRSF10C,O14798,NA,NA,NA,NA,kidney-->TNFSF10-->TNFRSF10C-->neutrophil
kidney,NK-cell,Epidermal growth factor,ENSG00000138798,EGF,P01133,AXL receptor tyrosine kinase,ENSG00000167601,AXL,P30530,NA,NA,NA,NA,kidney-->EGF-->AXL-->NK-cell
kidney,plasmacytoid DC,Epidermal growth factor,ENSG00000138798,EGF,P01133,EPH receptor A2,ENSG00000142627,EPHA2,P29317,NA,NA,NA,NA,kidney-->EGF-->EPHA2-->plasmacytoid DC
kidney,plasmacytoid DC,Epidermal growth factor,ENSG00000138798,EGF,P01133,AXL receptor tyrosine kinase,ENSG00000167601,AXL,P30530,NA,NA,NA,NA,kidney-->EGF-->AXL-->plasmacytoid DC
kidney,thyroid gland,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 3,ENSG00000259207,ITGB3,P05106,NA,NA,NA,NA,kidney-->SPP1-->ITGB3-->thyroid gland
liver,adipose tissue,C-X-C motif chemokine ligand 2,ENSG00000081041,CXCL2,P19875,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,liver-->CXCL2-->ACKR1-->adipose tissue
liver,basophil,C-C motif chemokine ligand 16,ENSG00000275152,CCL16,O15467,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,liver-->CCL16-->CCR2-->basophil
liver,basophil,C-C motif chemokine ligand 16,ENSG00000275152,CCL16,O15467,Histamine receptor H4,ENSG00000134489,HRH4,Q9H3N8,NA,NA,NA,NA,liver-->CCL16-->HRH4-->basophil
liver,basophil,C-C motif chemokine ligand 15,ENSG00000275718,CCL15,Q16663,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,liver-->CCL15-->CCR3-->basophil
liver,classical monocyte,TNF superfamily member 14,ENSG00000125735,TNFSF14,O43557,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,liver-->TNFSF14-->LTBR-->classical monocyte
liver,classical monocyte,Erythropoietin,ENSG00000130427,EPO,P01588,EPH receptor B4,ENSG00000196411,EPHB4,P54760,NA,NA,NA,NA,liver-->EPO-->EPHB4-->classical monocyte
liver,eosinophil,C-C motif chemokine ligand 16,ENSG00000275152,CCL16,O15467,Histamine receptor H4,ENSG00000134489,HRH4,Q9H3N8,NA,NA,NA,NA,liver-->CCL16-->HRH4-->eosinophil
liver,eosinophil,C-C motif chemokine ligand 15,ENSG00000275718,CCL15,Q16663,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,liver-->CCL15-->CCR3-->eosinophil
liver,intermediate monocyte,TNF superfamily member 14,ENSG00000125735,TNFSF14,O43557,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,liver-->TNFSF14-->LTBR-->intermediate monocyte
liver,MAIT T-cell,C-C motif chemokine ligand 16,ENSG00000275152,CCL16,O15467,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,liver-->CCL16-->CCR5-->MAIT T-cell
liver,myeloid DC,C-X-C motif chemokine ligand 2,ENSG00000081041,CXCL2,P19875,X-C motif chemokine receptor 1,ENSG00000173578,XCR1,P46094,NA,NA,NA,NA,liver-->CXCL2-->XCR1-->myeloid DC
liver,myeloid DC,TNF superfamily member 14,ENSG00000125735,TNFSF14,O43557,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,liver-->TNFSF14-->LTBR-->myeloid DC
liver,neutrophil,C-X-C motif chemokine ligand 2,ENSG00000081041,CXCL2,P19875,C-X-C motif chemokine receptor 1,ENSG00000163464,CXCR1,P25024,NA,NA,NA,NA,liver-->CXCL2-->CXCR1-->neutrophil
liver,neutrophil,C-X-C motif chemokine ligand 2,ENSG00000081041,CXCL2,P19875,C-X-C motif chemokine receptor 2,ENSG00000180871,CXCR2,P25025,NA,NA,NA,NA,liver-->CXCL2-->CXCR2-->neutrophil
liver,neutrophil,Thrombopoietin,ENSG00000090534,THPO,P40225,"MPL proto-oncogene, thrombopoietin receptor",ENSG00000117400,MPL,P40238,NA,NA,NA,NA,liver-->THPO-->MPL-->neutrophil
liver,neutrophil,TNF superfamily member 14,ENSG00000125735,TNFSF14,O43557,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,liver-->TNFSF14-->LTBR-->neutrophil
liver,neutrophil,Erythropoietin,ENSG00000130427,EPO,P01588,EPH receptor B4,ENSG00000196411,EPHB4,P54760,NA,NA,NA,NA,liver-->EPO-->EPHB4-->neutrophil
liver,non-classical monocyte,TNF superfamily member 14,ENSG00000125735,TNFSF14,O43557,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,liver-->TNFSF14-->LTBR-->non-classical monocyte
liver,T-reg,C-C motif chemokine ligand 16,ENSG00000275152,CCL16,O15467,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,liver-->CCL16-->CCR8-->T-reg
liver,urinary bladder,C-C motif chemokine ligand 16,ENSG00000275152,CCL16,O15467,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,liver-->CCL16-->CCR8-->urinary bladder
lung,adipose tissue,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor like 2,ENSG00000121797,CCRL2,O00421,NA,NA,NA,NA,lung-->CCL20-->CCRL2-->adipose tissue
lung,adipose tissue,C-X-C motif chemokine ligand 5,ENSG00000163735,CXCL5,P42830,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,lung-->CXCL5-->ACKR1-->adipose tissue
lung,adipose tissue,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,lung-->CXCL8-->ACKR1-->adipose tissue
lung,basophil,C-C motif chemokine ligand 24,ENSG00000106178,CCL24,O00175,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,lung-->CCL24-->CCR2-->basophil
lung,basophil,C-C motif chemokine ligand 24,ENSG00000106178,CCL24,O00175,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,lung-->CCL24-->CCR3-->basophil
lung,basophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,lung-->CSF2-->CSF2RB-->basophil
lung,basophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Interleukin 3 receptor subunit alpha,ENSG00000185291,IL3RA,P26951,NA,NA,NA,NA,lung-->CSF2-->IL3RA-->basophil
lung,basophil,C-X-C motif chemokine ligand 10,ENSG00000169245,CXCL10,P02778,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,lung-->CXCL10-->CCR3-->basophil
lung,basophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,lung-->CCL4-->CCR3-->basophil
lung,basophil,C-C motif chemokine ligand 18,ENSG00000275385,CCL18,P55774,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,lung-->CCL18-->CCR3-->basophil
lung,basophil,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,lung-->CCL4L2-->CCR3-->basophil
lung,bone marrow,Colony stimulating factor 3,ENSG00000108342,CSF3,P09919,Colony stimulating factor 3 receptor,ENSG00000119535,CSF3R,Q99062,NA,NA,NA,NA,lung-->CSF3-->CSF3R-->bone marrow
lung,breast,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Interleukin 3 receptor subunit alpha,ENSG00000185291,IL3RA,P26951,NA,NA,NA,NA,lung-->CSF2-->IL3RA-->breast
lung,classical monocyte,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,lung-->CSF2-->CSF2RA-->classical monocyte
lung,eosinophil,C-C motif chemokine ligand 24,ENSG00000106178,CCL24,O00175,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL24-->ACKR2-->eosinophil
lung,eosinophil,C-C motif chemokine ligand 24,ENSG00000106178,CCL24,O00175,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,lung-->CCL24-->CCR3-->eosinophil
lung,eosinophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,lung-->CSF2-->CSF2RA-->eosinophil
lung,eosinophil,C-X-C motif chemokine ligand 10,ENSG00000169245,CXCL10,P02778,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,lung-->CXCL10-->CCR3-->eosinophil
lung,eosinophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL4-->ACKR2-->eosinophil
lung,eosinophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,lung-->CCL4-->CCR3-->eosinophil
lung,eosinophil,C-C motif chemokine ligand 18,ENSG00000275385,CCL18,P55774,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,lung-->CCL18-->CCR3-->eosinophil
lung,eosinophil,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL4L2-->ACKR2-->eosinophil
lung,eosinophil,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,lung-->CCL4L2-->CCR3-->eosinophil
lung,intermediate monocyte,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,lung-->CSF2-->CSF2RA-->intermediate monocyte
lung,intestine,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,lung-->CCL20-->CCR6-->intestine
lung,liver,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,lung-->CSF2-->SDC2-->liver
lung,liver,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,lung-->CXCL8-->SDC2-->liver
lung,MAIT T-cell,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,lung-->CCL20-->CCR6-->MAIT T-cell
lung,MAIT T-cell,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,lung-->CCL4-->CCR5-->MAIT T-cell
lung,MAIT T-cell,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,lung-->CCL4L2-->CCR5-->MAIT T-cell
lung,memory B-cell,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,lung-->CCL20-->CCR6-->memory B-cell
lung,memory CD4 T-cell,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,lung-->CCL20-->CCR6-->memory CD4 T-cell
lung,myeloid DC,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,lung-->CSF2-->CSF2RA-->myeloid DC
lung,naive B-cell,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,lung-->CCL20-->CCR6-->naive B-cell
lung,neutrophil,Colony stimulating factor 3,ENSG00000108342,CSF3,P09919,Colony stimulating factor 3 receptor,ENSG00000119535,CSF3R,Q99062,NA,NA,NA,NA,lung-->CSF3-->CSF3R-->neutrophil
lung,neutrophil,Interferon gamma,ENSG00000111537,IFNG,P01579,Interferon gamma receptor 2,ENSG00000159128,IFNGR2,P38484,NA,NA,NA,NA,lung-->IFNG-->IFNGR2-->neutrophil
lung,neutrophil,C-X-C motif chemokine ligand 3,ENSG00000163734,CXCL3,P19876,C-X-C motif chemokine receptor 1,ENSG00000163464,CXCR1,P25024,NA,NA,NA,NA,lung-->CXCL3-->CXCR1-->neutrophil
lung,neutrophil,C-X-C motif chemokine ligand 3,ENSG00000163734,CXCL3,P19876,C-X-C motif chemokine receptor 2,ENSG00000180871,CXCR2,P25025,NA,NA,NA,NA,lung-->CXCL3-->CXCR2-->neutrophil
lung,neutrophil,C-X-C motif chemokine ligand 5,ENSG00000163735,CXCL5,P42830,C-X-C motif chemokine receptor 1,ENSG00000163464,CXCR1,P25024,NA,NA,NA,NA,lung-->CXCL5-->CXCR1-->neutrophil
lung,neutrophil,C-X-C motif chemokine ligand 5,ENSG00000163735,CXCL5,P42830,C-X-C motif chemokine receptor 2,ENSG00000180871,CXCR2,P25025,NA,NA,NA,NA,lung-->CXCL5-->CXCR2-->neutrophil
lung,neutrophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,lung-->CSF2-->CSF2RB-->neutrophil
lung,neutrophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,lung-->CSF2-->SDC2-->neutrophil
lung,neutrophil,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,lung-->CSF2-->CSF2RA-->neutrophil
lung,neutrophil,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,C-X-C motif chemokine receptor 1,ENSG00000163464,CXCR1,P25024,NA,NA,NA,NA,lung-->CXCL8-->CXCR1-->neutrophil
lung,neutrophil,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,lung-->CXCL8-->SDC2-->neutrophil
lung,neutrophil,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,C-X-C motif chemokine receptor 2,ENSG00000180871,CXCR2,P25025,NA,NA,NA,NA,lung-->CXCL8-->CXCR2-->neutrophil
lung,NK-cell,C-C motif chemokine ligand 24,ENSG00000106178,CCL24,O00175,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL24-->ACKR2-->NK-cell
lung,NK-cell,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL4-->ACKR2-->NK-cell
lung,NK-cell,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL4L2-->ACKR2-->NK-cell
lung,placenta,C-C motif chemokine ligand 24,ENSG00000106178,CCL24,O00175,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL24-->ACKR2-->placenta
lung,placenta,Colony stimulating factor 3,ENSG00000108342,CSF3,P09919,Colony stimulating factor 3 receptor,ENSG00000119535,CSF3R,Q99062,NA,NA,NA,NA,lung-->CSF3-->CSF3R-->placenta
lung,placenta,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,lung-->CSF2-->CSF2RB-->placenta
lung,placenta,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,lung-->CSF2-->CSF2RA-->placenta
lung,placenta,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL4-->ACKR2-->placenta
lung,placenta,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL4L2-->ACKR2-->placenta
lung,plasmacytoid DC,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,lung-->CCL20-->CXCR3-->plasmacytoid DC
lung,plasmacytoid DC,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Interleukin 3 receptor subunit alpha,ENSG00000185291,IL3RA,P26951,NA,NA,NA,NA,lung-->CSF2-->IL3RA-->plasmacytoid DC
lung,plasmacytoid DC,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Colony stimulating factor 2 receptor alpha subunit,ENSG00000198223,CSF2RA,P15509,NA,NA,NA,NA,lung-->CSF2-->CSF2RA-->plasmacytoid DC
lung,plasmacytoid DC,C-X-C motif chemokine ligand 10,ENSG00000169245,CXCL10,P02778,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,lung-->CXCL10-->CXCR3-->plasmacytoid DC
lung,salivary gland,C-C motif chemokine ligand 24,ENSG00000106178,CCL24,O00175,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL24-->ACKR2-->salivary gland
lung,salivary gland,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL4-->ACKR2-->salivary gland
lung,salivary gland,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,lung-->CCL4L2-->ACKR2-->salivary gland
lung,T-reg,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,lung-->CCL20-->CCR6-->T-reg
lung,T-reg,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,lung-->CCL4-->CCR8-->T-reg
lung,T-reg,C-C motif chemokine ligand 18,ENSG00000275385,CCL18,P55774,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,lung-->CCL18-->CCR8-->T-reg
lung,T-reg,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,lung-->CCL4L2-->CCR8-->T-reg
lung,thyroid gland,Colony stimulating factor 2,ENSG00000164400,CSF2,P04141,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,lung-->CSF2-->SDC2-->thyroid gland
lung,thyroid gland,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,lung-->CXCL8-->SDC2-->thyroid gland
lung,urinary bladder,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,lung-->CCL4-->CCR8-->urinary bladder
lung,urinary bladder,C-C motif chemokine ligand 18,ENSG00000275385,CCL18,P55774,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,lung-->CCL18-->CCR8-->urinary bladder
lung,urinary bladder,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,lung-->CCL4L2-->CCR8-->urinary bladder
